# index, name, _pos
377,PAU4,"array([ 23.71393725, -34.77671786])"
378,PAU5,"array([ 26.19855976, -40.54640346])"
379,PCL1,"array([ 24.91842932, -38.08101829])"
380,PCL10,"array([ 22.85487798, -35.25500286])"
381,PCL2,"array([ -1.00774132, -21.54313373])"
382,PCL9,"array([ 26.87900829, -39.37131176])"
383,PDC1,"array([ 24.8240181 , -40.56467374])"
384,PDR1,"array([ -7.48786691, -26.62732295])"
385,PDR10,"array([ 12.4758463 , -31.42028558])"
386,PDR11,"array([28.88837204, 16.24960125])"
387,PDR15,"array([ 50.2321766 , -37.99142998])"
388,PDR3,"array([-20.44416013,   4.89547977])"
389,PDR5,"array([  8.6046568 , -29.71905426])"
390,PEP1,"array([-19.06191068,   4.97607284])"
391,PET18,"array([-27.4366289 ,  -5.53340693])"
392,PET9,"array([ 9.85001592, 17.6237676 ])"
393,PEX1,"array([ 6.19116118, -6.68932125])"
394,PEX11,"array([-11.29526276,  -3.36334319])"
395,PEX5,"array([ 18.21979642, -19.20181661])"
396,PGI1,"array([ 17.75406142, -27.50971437])"
397,PGK1,"array([  1.72986811, -28.97150729])"
398,PGM1,"array([ -3.5464972 , -13.41898396])"
399,PGM2,"array([  5.23035936, -20.9743976 ])"
400,PGS1,"array([34.22008952,  4.40668951])"
401,PGU1,"array([23.80439885, 10.9523396 ])"
402,PHD1,"array([  9.66555322, -16.82513078])"
403,PHO11,"array([  8.69892772, -16.98254168])"
404,PHO12,"array([ 13.43509758, -29.37292178])"
405,PHO2,"array([ 11.01822218, -18.6764298 ])"
406,PHO23,"array([13.4683207 , 17.33336305])"
407,PHO3,"array([ 19.1291831 , -29.18752478])"
408,PHO4,"array([ 17.82780447, -33.113725  ])"
409,PHO5,"array([ 17.98017457, -32.23478593])"
410,PHO8,"array([-26.47287448, -16.71434707])"
411,PHO81,"array([ 18.80176096, -37.52700473])"
412,PHO84,"array([ 16.82839042, -34.82506853])"
413,PHR1,"array([ 17.79200136, -37.05724899])"
414,PMA1,"array([42.64408716, -4.29534469])"
415,PMC1,"array([ 54.39395837, -20.57719826])"
416,PMS1,"array([ 18.69781834, -34.06337639])"
417,PNC1,"array([ 19.85113982, -36.95142366])"
418,POL1,"array([ 15.70689769, -35.99195534])"
419,POL12,"array([ 16.37056404, -21.67726788])"
